name,cn1,cn2,an1,train_accuracy,test_accuracy,nonzero_parameters,num_parameters,effective_model_size_mb,sparsity_adjusted_flops
cn1_0_cn2_0_an1_0,0.0,0.0,0.0,82.84,81.66,1070986,1070986.0,4.09,13702144.0
cn1_0_cn2_0_an1_0.3,0.0,0.0,0.3,82.93,81.66,755594,1070986.0,2.88,9667033.74
cn1_0_cn2_0_an1_0.5,0.0,0.0,0.5,82.88,81.66,546698,1070986.0,2.09,6994428.24
cn1_0_cn2_0_an1_0.7,0.0,0.0,0.7,82.86,81.66,337802,1070986.0,1.29,4321822.74
cn1_0_cn2_0_an1_0.75,0.0,0.0,0.75,82.18,81.09,284554,1070986.0,1.09,3640570.36
cn1_0_cn2_0_an1_0.8,0.0,0.0,0.8,80.16,80.26,231306,1070986.0,0.88,2959317.97
cn1_0_cn2_0_an1_0.85,0.0,0.0,0.85,73.89,74.37,178058,1070986.0,0.68,2278065.59
cn1_0_cn2_0_an1_0.9,0.0,0.0,0.9,53.11,56.92,128906,1070986.0,0.49,1649217.24
cn1_0_cn2_0.3_an1_0,0.0,0.3,0.0,54.81,58.17,1065514,1070986.0,4.07,13632135.49
cn1_0_cn2_0.3_an1_0.3,0.0,0.3,0.3,54.6,58.17,750122,1070986.0,2.86,9597025.23
cn1_0_cn2_0.3_an1_0.5,0.0,0.3,0.5,54.96,58.17,541226,1070986.0,2.07,6924419.73
cn1_0_cn2_0.3_an1_0.7,0.0,0.3,0.7,54.94,58.17,332330,1070986.0,1.27,4251814.23
cn1_0_cn2_0.3_an1_0.75,0.0,0.3,0.75,53.47,56.49,279082,1070986.0,1.07,3570561.85
cn1_0_cn2_0.3_an1_0.8,0.0,0.3,0.8,51.71,54.46,225834,1070986.0,0.86,2889309.47
cn1_0_cn2_0.3_an1_0.85,0.0,0.3,0.85,44.0,45.12,172586,1070986.0,0.66,2208057.08
cn1_0_cn2_0.3_an1_0.9,0.0,0.3,0.9,34.35,36.48,123434,1070986.0,0.47,1579208.73
cn1_0_cn2_0.5_an1_0,0.0,0.5,0.0,39.12,43.2,1061770,1070986.0,4.05,13584234.93
cn1_0_cn2_0.5_an1_0.3,0.0,0.5,0.3,39.16,43.2,746378,1070986.0,2.85,9549124.67
cn1_0_cn2_0.5_an1_0.5,0.0,0.5,0.5,39.18,43.2,537482,1070986.0,2.05,6876519.17
cn1_0_cn2_0.5_an1_0.7,0.0,0.5,0.7,39.02,43.2,328586,1070986.0,1.25,4203913.67
cn1_0_cn2_0.5_an1_0.75,0.0,0.5,0.75,37.93,41.95,275338,1070986.0,1.05,3522661.29
cn1_0_cn2_0.5_an1_0.8,0.0,0.5,0.8,40.78,44.12,222090,1070986.0,0.85,2841408.91
cn1_0_cn2_0.5_an1_0.85,0.0,0.5,0.85,33.73,36.06,168842,1070986.0,0.64,2160156.53
cn1_0_cn2_0.5_an1_0.9,0.0,0.5,0.9,28.83,30.34,119690,1070986.0,0.46,1531308.17
cn1_0_cn2_0.7_an1_0,0.0,0.7,0.0,24.79,27.73,1058026,1070986.0,4.04,13536334.38
cn1_0_cn2_0.7_an1_0.3,0.0,0.7,0.3,24.9,27.73,742634,1070986.0,2.83,9501224.11
cn1_0_cn2_0.7_an1_0.5,0.0,0.7,0.5,25.0,27.73,533738,1070986.0,2.04,6828618.61
cn1_0_cn2_0.7_an1_0.7,0.0,0.7,0.7,25.0,27.72,324842,1070986.0,1.24,4156013.11
cn1_0_cn2_0.7_an1_0.75,0.0,0.7,0.75,24.74,27.46,271594,1070986.0,1.04,3474760.73
cn1_0_cn2_0.7_an1_0.8,0.0,0.7,0.8,20.92,23.86,218346,1070986.0,0.83,2793508.35
cn1_0_cn2_0.7_an1_0.85,0.0,0.7,0.85,15.82,18.54,165098,1070986.0,0.63,2112255.97
cn1_0_cn2_0.7_an1_0.9,0.0,0.7,0.9,17.52,17.57,115946,1070986.0,0.44,1483407.62
cn1_0_cn2_0.75_an1_0,0.0,0.75,0.0,21.15,23.16,1057162,1070986.0,4.03,13525280.4
cn1_0_cn2_0.75_an1_0.3,0.0,0.75,0.3,20.95,23.16,741770,1070986.0,2.83,9490170.14
cn1_0_cn2_0.75_an1_0.5,0.0,0.75,0.5,21.1,23.16,532874,1070986.0,2.03,6817564.64
cn1_0_cn2_0.75_an1_0.7,0.0,0.75,0.7,20.93,23.16,323978,1070986.0,1.24,4144959.14
cn1_0_cn2_0.75_an1_0.75,0.0,0.75,0.75,21.26,23.15,270730,1070986.0,1.03,3463706.76
cn1_0_cn2_0.75_an1_0.8,0.0,0.75,0.8,17.24,19.1,217482,1070986.0,0.83,2782454.38
cn1_0_cn2_0.75_an1_0.85,0.0,0.75,0.85,13.76,16.03,164234,1070986.0,0.63,2101201.99
cn1_0_cn2_0.75_an1_0.9,0.0,0.75,0.9,16.78,16.84,115082,1070986.0,0.44,1472353.64
cn1_0_cn2_0.8_an1_0,0.0,0.8,0.0,17.52,18.05,1056298,1070986.0,4.03,13514226.43
cn1_0_cn2_0.8_an1_0.3,0.0,0.8,0.3,17.46,18.05,740906,1070986.0,2.83,9479116.16
cn1_0_cn2_0.8_an1_0.5,0.0,0.8,0.5,17.42,18.05,532010,1070986.0,2.03,6806510.66
cn1_0_cn2_0.8_an1_0.7,0.0,0.8,0.7,17.44,18.04,323114,1070986.0,1.23,4133905.16
cn1_0_cn2_0.8_an1_0.75,0.0,0.8,0.75,17.54,18.17,269866,1070986.0,1.03,3452652.78
cn1_0_cn2_0.8_an1_0.8,0.0,0.8,0.8,13.83,14.89,216618,1070986.0,0.83,2771400.4
cn1_0_cn2_0.8_an1_0.85,0.0,0.8,0.85,11.88,12.74,163370,1070986.0,0.62,2090148.02
cn1_0_cn2_0.8_an1_0.9,0.0,0.8,0.9,18.16,17.99,114218,1070986.0,0.44,1461299.67
cn1_0_cn2_0.85_an1_0,0.0,0.85,0.0,15.78,15.7,1055434,1070986.0,4.03,13503172.45
cn1_0_cn2_0.85_an1_0.3,0.0,0.85,0.3,15.58,15.7,740042,1070986.0,2.82,9468062.19
cn1_0_cn2_0.85_an1_0.5,0.0,0.85,0.5,15.71,15.7,531146,1070986.0,2.03,6795456.69
cn1_0_cn2_0.85_an1_0.7,0.0,0.85,0.7,15.64,15.7,322250,1070986.0,1.23,4122851.19
cn1_0_cn2_0.85_an1_0.75,0.0,0.85,0.75,15.58,15.69,269002,1070986.0,1.03,3441598.81
cn1_0_cn2_0.85_an1_0.8,0.0,0.85,0.8,13.2,13.84,215754,1070986.0,0.82,2760346.43
cn1_0_cn2_0.85_an1_0.85,0.0,0.85,0.85,11.78,12.21,162506,1070986.0,0.62,2079094.04
cn1_0_cn2_0.85_an1_0.9,0.0,0.85,0.9,16.41,16.46,113354,1070986.0,0.43,1450245.69
cn1_0_cn2_0.9_an1_0,0.0,0.9,0.0,15.73,15.66,1054282,1070986.0,4.02,13488433.82
cn1_0_cn2_0.9_an1_0.3,0.0,0.9,0.3,15.87,15.66,738890,1070986.0,2.82,9453323.55
